Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
"Unearned Revenue, Current",,,,,5.65,1.43,0.56,,6.3,16.3,,CHEMPLASTS
Other Current Liabilities,,,,166.769,2244.99,1773.39,779.16,2146.03,1664.9,1918.7,2719.1,CHEMPLASTS
Total Current Liabilities,,,,13941.133,16143.35,6920.54,4277.85,19982.15,22555.2,22343.5,24835.4,CHEMPLASTS
Long-Term Debt,,,,1596.356,1698.29,393.45,12066.76,20245.49,7990.5,9294.2,11021.4,CHEMPLASTS
Long-Term Leases,,,,126.238,,188.08,166.1,141,112.4,79.7,11.2,CHEMPLASTS
"Unearned Revenue, Non-Current",,,,,49.11,22.63,27.09,175.57,179.4,362.6,,CHEMPLASTS
"Def. Tax Liability, Non-Curr.",,,,,1428.61,4867.34,4845.26,7200.02,7414.5,7166.8,6514.9,CHEMPLASTS
Other Non-Current Liabilities,,,,387.344,1490.58,625.75,567.17,615.85,718.2,536.3,914.3,CHEMPLASTS
Total Liabilities,,,,16051.071,20809.94,13017.79,21950.23,48360.08,38970.2,39783.1,43297.2,CHEMPLASTS
Common Stock,,,,800,800,670.4,670.4,670.4,790.6,790.6,790.6,CHEMPLASTS
Additional Paid In Capital,,,,1266.713,1266.71,1266.71,1266.71,1266.71,13857.3,13862.8,,CHEMPLASTS
Retained Earnings,,,,-1167.8,2930.28,4500.8,3902.19,9742.14,17981.2,19944.4,,CHEMPLASTS
Treasury Stock,,,,,,,,,,,,CHEMPLASTS
Comprehensive Inc. and Other,,,,1621.295,453.56,18559.93,13285.87,-15174.2,-15578.7,-16013.2,16215.2,CHEMPLASTS
Total Common Equity,,,,2520.252,5450.55,24997.84,19125.17,-3494.9,17050.4,18584.6,17005.8,CHEMPLASTS
Total Equity,,,,2520.252,5450.55,24997.84,19125.17,-3494.9,17050.4,18584.6,17005.8,CHEMPLASTS
Total Liabilities And Equity,,,,18571.323,26260.49,38015.63,41075.4,44865.17,56020.6,58367.7,60303,CHEMPLASTS
Supplemental Items,,,,,,,,,,,,CHEMPLASTS
Total Shares Out. on Filing Date,,,,160,160,261.58,134.08,134.08,158.109574,158.109574,158.020304,CHEMPLASTS
Total Shares Out. on Balance Sheet Date,,,,160,160,261.58,134.08,134.08,158.109574,158.109574,158.020304,CHEMPLASTS
Book Value/Share,,,,15.751575,34.065937,95.564798,142.639991,-26.07,107.839136,117.542534,107.617815,CHEMPLASTS
Tangible Book Value,,,,2520.252,5450.55,24997.84,19125.17,-3494.9,17050.4,18584.6,17005.8,CHEMPLASTS
Tangible Book Value/Share,,,,15.751575,34.065937,95.564798,142.639991,-26.07,107.839136,117.542534,107.617815,CHEMPLASTS
Total Debt,,,,3397.287,5253.75,2735.27,13074.92,21268.36,8814.8,10192.1,15475.1,CHEMPLASTS
Net Debt,,,,2943.138,-5464.1,-9340.7,12321.47,18023.48,-1396.8,-1107.9,7463.2,CHEMPLASTS
Debt Equiv. of Unfunded Proj. Benefit Obligation,,,,-0.4,1.39,-3.1,19.14,-0.4,39.6,13.5,,CHEMPLASTS
Debt Equivalent Oper. Leases,,,,179.056,394.72,141.92,8.4,38.64,273.6,344,,CHEMPLASTS
Equity Method Investments,,,,,,,14574.95,,,,,CHEMPLASTS
Inventory Method,,,,,,,,,,,,CHEMPLASTS
Raw Materials Inventory,,,,38.902,127.35,333.8,525.77,726.88,5105.3,4326,,CHEMPLASTS
Work in Progress Inventory,,,,936.204,2193.67,1146.49,609.4,2330.36,117.1,191.9,,CHEMPLASTS
Finished Goods Inventory,,,,259.256,144.58,139.07,279.89,331.7,494.3,358.3,,CHEMPLASTS
Other Inventory Accounts,,,,711.859,664.99,383.86,403.23,681.96,1393.8,1554.8,,CHEMPLASTS
Land,,,,973.482,956.1,10322.01,10327.45,10903.28,11212.8,11212.8,,CHEMPLASTS
Buildings,,,,1555.738,991.47,1716.37,1787.84,2467.31,2312.8,2404,,CHEMPLASTS
Machinery,,,,16557.799,9640.74,9100.77,10554.47,20150.28,19146.9,19619.9,,CHEMPLASTS
Construction in Progress,,,,66.44,818.05,1172.35,83.76,250.81,336.5,4018.2,,CHEMPLASTS
Full Time Employees,,,,,,,1184,1186,1074,1219,,CHEMPLASTS
Filing Date,,,,,,,,,,,,CHEMPLASTS
Restatement Type,,,,,,,,,,,,CHEMPLASTS
Calculation Type,,,,,,,,,,,,CHEMPLASTS
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,CHEMPLASTS
,,,,,,,,,,,,CHEMPLASTS
Cash And Equivalents,460.249,470.367,0.918,2.625,0.4,1.7,0.5,48.3,120,86.4,942.5,CHENNPETRO
Short Term Investments,,,51.884,22.359,14.9,53.3,,,,,,CHENNPETRO
Total Cash & ST Investments,460.249,470.367,52.802,24.984,15.3,55,0.5,48.3,120,86.4,942.5,CHENNPETRO
Accounts Receivable,22228.215,18516.41,7610.156,10397.02,15694.9,3273.3,1239,1999.8,2523.2,2986.7,4615.5,CHENNPETRO
Other Receivables,916.949,966.897,3015.185,3188.929,3007.4,2960,2889.3,2509.5,3087.5,3536.6,,CHENNPETRO
Notes Receivable,,,280.336,270.017,234.7,227.8,330.6,112.7,109.7,128.6,222.6,CHENNPETRO
Total Receivables,23145.164,19483.307,10905.677,13855.966,18937,6461.1,4458.9,4622,5720.4,6651.9,4838.1,CHENNPETRO
Inventory,66977.393,38569.187,31752.634,32070.575,47486.6,48469.6,23607.7,45088.6,75326.2,59735.9,78309.1,CHENNPETRO
Restricted Cash,,,48.812,51.79,53.6,56.7,,,,,,CHENNPETRO
Other Current Assets,1298.34,1893.883,704.095,584.169,386.1,488.7,554.5,808.4,7629.9,10207,16791.9,CHENNPETRO
Total Current Assets,91881.146,60416.744,43464.02,46587.484,66878.6,55531.1,28621.6,50567.3,88796.5,76681.2,100881.6,CHENNPETRO
"Gross Property, Plant & Equipment",85050.667,90171.703,60520.8,71705.609,81726.8,93974,101455.9,105939.3,107443.8,110544.9,,CHENNPETRO
Accumulated Depreciation,-38815.9,-41437.2,-2649.5,-5361.2,-8741.4,-13216.3,-17575.7,-21887.4,-26106.6,-31269.8,,CHENNPETRO
"Net Property, Plant & Equipment",46234.76,48734.481,57871.283,66344.386,72985.4,80757.7,83880.2,84051.9,81337.2,79275.1,76776.7,CHENNPETRO
Long-term Investments,248.205,137.143,1194.89,1400.043,1525.5,1590.9,1790.3,1986.2,2084.4,2060.7,2399.1,CHENNPETRO
Other Intangibles,125.164,128.821,114.049,109.73,247.9,1010.2,2438.9,2874.1,424.6,404.7,384.2,CHENNPETRO
Loans Receivable Long-Term,,,355.571,337.893,348.6,452.1,512.6,533.4,605.8,915.5,1177.5,CHENNPETRO
"Deferred Tax Assets, LT",,,,,,,9335.2,,,,,CHENNPETRO
"Deferred Charges, LT",,,184.158,170.26,190.2,244.6,271.6,278.7,378.5,312,,CHENNPETRO
Other Long-Term Assets,933.299,1296.733,1206.997,1278.842,883.8,1436.6,1508.8,1958.7,1177.8,711.9,1693.6,CHENNPETRO
Total Assets,139422.574,110713.922,104390.968,116228.638,143060,141023.2,128359.2,142250.3,174804.8,160361.1,183312.7,CHENNPETRO
LIABILITIES,,,,,,,,,,,,CHENNPETRO
Accounts Payable,52154.621,32492.114,24686.404,16521.597,44436.5,24411,15546.7,18819.8,32400.6,30071.1,42825.1,CHENNPETRO
Accrued Exp.,4749.67,4778.632,5841.6,5495.561,5964,4847.7,5560.6,7589.9,6384.9,5986.4,,CHENNPETRO
Short-term Borrowings,34521.981,33990.918,25604.825,31734.432,20630,48739.7,57326.8,56506.9,53375.2,19273.6,,CHENNPETRO
Curr. Port. of LT Debt,1474.228,10000,,,16023.3,3504.9,224.8,4926.4,14936.3,1489.1,14270.5,CHENNPETRO
Curr. Port. of Leases,,,30.215,33.425,,,26.1,56.8,44.7,58.6,73.4,CHENNPETRO
Curr. Income Taxes Payable,,13.792,,180.773,,,,,,,,CHENNPETRO
"Unearned Revenue, Current",,,,,,,14,19.9,19.8,9.1,,CHENNPETRO
Other Current Liabilities,1852.997,1401.567,2687.464,2631.286,3328.5,6751.6,5453.7,5692.1,7765.8,8942.7,15907.1,CHENNPETRO
Total Current Liabilities,94753.497,82677.023,58850.508,56597.074,90382.3,88254.9,84152.7,93611.8,114927.3,65830.6,73076.1,CHENNPETRO
Long-Term Debt,20000,10000,20000,23242.75,8259,14435.1,29289.1,30046.4,23915.5,21591.9,13347,CHENNPETRO
Long-Term Leases,,,33.425,,,,113.6,133.1,111.6,182.8,168.1,CHENNPETRO
"Unearned Revenue, Non-Current",,,308.723,403.761,60.5,13.6,136.4,149.9,190.4,204,194.9,CHENNPETRO
Pension & Other Post-Retire. Benefits,369.91,464.195,509.769,1331.497,2326.2,2546.8,1006.3,1094.7,95.8,90.4,110.8,CHENNPETRO
"Def. Tax Liability, Non-Curr.",7033.989,16.313,,242.541,2062,1207.4,,1035.2,5630.9,7645.8,8143.1,CHENNPETRO
Other Non-Current Liabilities,40.696,127.569,,,,,68.4,67.2,66,64.8,63.5,CHENNPETRO
Total Liabilities,122198.092,93285.1,79702.425,81817.623,103090,106457.8,114766.5,126138.3,144937.5,95610.3,95103.5,CHENNPETRO
Common Stock,1489.114,1489.114,1489.114,1489.114,1489.1,1489.1,1489.1,1489.1,1489.1,1489.1,1489.1,CHENNPETRO
Additional Paid In Capital,2500.382,2521.486,2500.382,2500.382,2500.4,2500.4,2500.4,2500.4,2500.4,2500.4,,CHENNPETRO
Retained Earnings,13234.054,13417.29,17198.115,24420.587,27479.6,24575,3602.3,6121.6,18876.9,50610.4,,CHENNPETRO
Treasury Stock,,,,,,,,,,,,CHENNPETRO
Comprehensive Inc. and Other,0.932,0.932,3500.932,6000.932,8500.9,6000.9,6000.9,6000.9,7000.9,10150.9,86720.1,CHENNPETRO
Total Common Equity,17224.482,17428.822,24688.543,34411.015,39970,34565.4,13592.7,16112,29867.3,64750.8,88209.2,CHENNPETRO
Total Equity,17224.482,17428.822,24688.543,34411.015,39970,34565.4,13592.7,16112,29867.3,64750.8,88209.2,CHENNPETRO
Total Liabilities And Equity,139422.574,110713.922,104390.968,116228.638,143060,141023.2,128359.2,142250.3,174804.8,160361.1,183312.7,CHENNPETRO
Supplemental Items,,,,,,,,,,,,CHENNPETRO
Total Shares Out. on Filing Date,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,2893.502304,CHENNPETRO
Total Shares Out. on Balance Sheet Date,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,148.9114,2893.502304,CHENNPETRO
Book Value/Share,115.66933,117.041556,165.793505,231.083818,268.414641,232.120576,91.280452,108.198566,200.570943,434.827689,30.48527,CHENNPETRO
Tangible Book Value,17099.318,17300.001,24574.494,34301.285,39722.1,33555.2,11153.8,13237.9,29442.7,64346.1,87825,CHENNPETRO
Tangible Book Value/Share,114.828804,116.176471,165.02762,230.346937,266.749892,225.336676,74.902257,88.897827,197.719583,432.109966,30.35249,CHENNPETRO
Total Debt,55996.209,53990.918,45668.465,55010.607,44912.3,66679.7,86980.4,91669.6,92383.3,42596,27859,CHENNPETRO
Net Debt,55535.96,53520.551,45615.663,54985.623,44897,66624.7,86979.9,91621.3,92263.3,42509.6,26916.5,CHENNPETRO
Debt Equiv. of Unfunded Proj. Benefit Obligation,783.393,971.478,-26.2,-3,596.1,55.7,219,264.3,-174.3,-290.4,,CHENNPETRO
Debt Equivalent Oper. Leases,1757.624,1559.984,2022.968,1656.768,1396.8,1162.4,886.4,667.2,928,365.6,1503.2,CHENNPETRO
Equity Method Investments,118.34,,1193.8,1398.953,1524.4,1589.8,1789.2,1985.1,2083.3,2059.6,2398,CHENNPETRO
Inventory Method,,,,,,,,,,,,CHENNPETRO
Raw Materials Inventory,35148.266,19554.421,15453.529,16792.793,26047,22765.6,7473.1,19686.8,37799,31845.2,,CHENNPETRO
Work in Progress Inventory,7987.826,4746.919,2767.308,3253.995,4813.3,6332.6,2814.3,2999.6,10062.8,8022.4,,CHENNPETRO
Finished Goods Inventory,21525.902,11868.588,11457.071,9914.979,14422.4,17002,10616.4,19352.2,24563,16816.9,,CHENNPETRO
Other Inventory Accounts,2549.116,2693.117,2335.723,2391.885,2533.5,2724.1,3096.8,3450.5,3329.7,3482.4,,CHENNPETRO
Land,455.769,472.199,437.609,459.667,502.3,508.7,548.7,550,550,551.7,,CHENNPETRO
Buildings,2094.82,2784.949,1372.407,1142.671,1680.3,1680.3,1603.6,1855.1,1851.4,1893.2,,CHENNPETRO
Machinery,78865.35,78890.434,41792.553,42169.653,65245.1,80369,85180.1,89981.2,92454.1,104140.1,,CHENNPETRO
Construction in Progress,3393.976,7783.369,16730.868,27566.074,14098,11214.9,13755.1,13086.3,12095.5,3314.3,,CHENNPETRO
Full Time Employees,1688,1628,1633,1641,1709,1726,1684,1588,1486,1446,,CHENNPETRO
"Assets under Cap. Lease, Gross",,,,182.087,,,,,,,,CHENNPETRO
"Assets under Cap. Lease, Accum. Depr.",,,,-17.4,,,,,,,,CHENNPETRO
Accum. Allowance for Doubtful Accts,,11.66,,,,,,,,,,CHENNPETRO
Filing Date,,,,,,,,,,,,CHENNPETRO
Restatement Type,,,,,,,,,,,,CHENNPETRO
Calculation Type,,,,,,,,,,,,CHENNPETRO
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,CHENNPETRO
,,,,,,,,,,,,CHENNPETRO
Cash And Equivalents,12296.6,10602.6,13180.1,3971.9,4944.4,32873.5,37040.6,16178.6,28422.2,10995.5,45484.8,CHOLAHLDNG
Long-term Investments,21158.3,26654,51412,65648.5,62106,75522.7,88926.8,116780.2,132820.9,175360.5,200581.3,CHOLAHLDNG
Trading Asset Securities,93.9,,,,59.9,886.9,1142,458.7,1865.3,2728.6,2478.2,CHOLAHLDNG
Loans And Lease Receivables,194340.9,222613.2,912.3,1046.5,422439.6,526107.7,553957.3,658393.4,741447.1,1048096.5,1444626.5,CHOLAHLDNG
Other Receivables,14228.8,10753.9,8159.8,4450,25444.6,19050.7,18668,21813.3,23265.3,23770.9,28271.2,CHOLAHLDNG
"Gross Property, Plant & Equipment",23981.4,25551.7,24750,1136.5,2356.9,2792.6,5603.8,6394.8,7946,10785.4,,CHOLAHLDNG
Accumulated Depreciation,-12471.2,-13689.7,-14043.3,-543,-416.5,-819.4,-1903.2,-3034.1,-4117.5,-5361.7,,CHOLAHLDNG
"Net Property, Plant & Equipment",11510.2,11862,10706.7,593.5,1940.4,1973.2,3700.6,3360.7,3828.5,5423.7,16696.3,CHOLAHLDNG
Goodwill,3515,3543,3103.2,36.4,497.3,427.2,427.2,427.2,427.2,427.2,427.2,CHOLAHLDNG
Other Intangibles,162.9,202.8,117.2,101.8,421.6,509.1,482.3,489.2,504,696,551,CHOLAHLDNG
Other Current Assets,6580.7,7860.2,7670.7,1281.9,10033.8,9932.9,40084.8,50114,26914.7,22296.8,7403,CHOLAHLDNG
"Deferred Tax Assets, LT",1307.8,2064.2,540.1,697,4387.5,6080.7,6871.3,9733.5,8692.7,8964.8,8244.6,CHOLAHLDNG
Other Long-Term Assets,8396,7827.4,1270.2,1096.7,1791,6007.5,7245.7,8406.8,9527.5,11569.1,14412.6,CHOLAHLDNG
Total Assets,273591.1,303983.3,97072.3,78924.2,534066.1,679372.1,758546.6,886155.6,977715.4,1310329.6,1769176.7,CHOLAHLDNG
LIABILITIES,,,,,,,,,,,,CHOLAHLDNG
Customer Deposits: Int. Bearing < 100k,2.1,0.8,,,,,,,,,,CHOLAHLDNG
Total Deposits,2.1,0.8,,,,,,,,,,CHOLAHLDNG
Accounts Payable,8585.8,8748.5,6966.4,2225.7,2140.3,2316.3,3310.4,2857,2987.5,3758.9,4986,CHOLAHLDNG
Accrued Exp.,5006.1,5121.4,1302.5,958.6,521.9,720,887.1,1106.1,473,1315.6,,CHOLAHLDNG
Short-term Borrowings,34854.8,30627.2,3129.7,,33410.9,48707.5,30382.3,45991.7,40904.5,68567.1,1867,CHOLAHLDNG
Curr. Port. of LT Debt,55129.2,46494,7230,,107727.1,138199.6,135164.7,195638.2,212363.5,276027.1,,CHOLAHLDNG
Curr. Port. of Leases,,,,,,,702.6,757.5,700.6,1196.1,,CHOLAHLDNG
Long-Term Debt,104610.4,132189.9,4049.1,,241627.2,317649.8,385627.7,397615.8,440713.4,628658.8,1340140,CHOLAHLDNG
Long-Term Leases,,,,,,,1111.2,957,967.2,923.8,,CHOLAHLDNG
Curr. Income Taxes Payable,15.9,18.7,133.5,,,,21.2,480.7,3.5,,,CHOLAHLDNG
"Unearned Revenue, Current",0.4,2.2,,,,,,,,,,CHOLAHLDNG
Other Current Liabilities,16019.2,21723.3,19902.6,21462.8,54515.6,10882.1,9675.5,32523.4,20870.4,25743.1,20363,CHOLAHLDNG
"Unearned Revenue, Non-Current",,,,,24280.9,29183.3,34590.3,39883.5,44663.8,55050.4,,CHOLAHLDNG
"Def. Tax Liability, Non-Curr.",575.2,605.4,419.6,,,,,,7.4,1.3,1.8,CHOLAHLDNG
Other Non-Current Liabilities,15640.6,14138.7,16389.6,22258.6,3952.2,53068.9,60054.7,54757.3,76772.9,86507.2,180578.7,CHOLAHLDNG
Total Liabilities,240439.7,259670.1,59523,46905.7,468176.1,600727.5,661527.7,772568.2,841427.7,1147749.4,1547936.5,CHOLAHLDNG
Common Stock,373.8,374.3,374.7,187.5,187.5,187.7,187.7,187.7,187.7,187.8,187.8,CHOLAHLDNG
Additional Paid In Capital,2543.6,2579.5,2018.9,2026.9,,,,,,,,CHOLAHLDNG
Retained Earnings,14812.9,18090.6,28565,25086.5,,,,,,,,CHOLAHLDNG
Treasury Stock,,,,,,,,,,,,CHOLAHLDNG
Comprehensive Inc. and Other,1780,2233.2,2283.1,335.8,32908.4,39248.3,45718.1,53671.7,64269.2,76418,102229.5,CHOLAHLDNG
Total Common Equity,19510.3,23277.6,33241.7,27636.7,33095.9,39436,45905.8,53859.4,64456.9,76605.8,102417.3,CHOLAHLDNG
Minority Interest,13641.1,21035.6,4307.6,4381.8,32794.1,39208.6,51113.1,59728,71830.8,85974.4,118822.9,CHOLAHLDNG
Total Equity,33151.4,44313.2,37549.3,32018.5,65890,78644.6,97018.9,113587.4,136287.7,162580.2,221240.2,CHOLAHLDNG
Total Liabilities And Equity,273591.1,303983.3,97072.3,78924.2,534066.1,679372.1,758546.6,886155.6,977715.4,1310329.6,1769176.7,CHOLAHLDNG
Supplemental Items,,,,,,,,,,,,CHOLAHLDNG
Total Shares Out. on Filing Date,186.892766,187.131664,187.346537,187.447871,187.533696,187.692234,187.71603,187.722982,187.742892,187.777462,187.796486,CHOLAHLDNG
Total Shares Out. on Balance Sheet Date,186.892766,187.131664,187.346537,187.447871,187.533696,187.692234,187.71603,187.722982,187.742892,187.777462,187.796486,CHOLAHLDNG
Book Value/Share,104.393018,124.391562,177.434291,147.436723,176.479751,210.109918,244.549173,286.90893,343.325381,407.960567,545.363239,CHOLAHLDNG
Tangible Book Value,15832.4,19531.8,30021.3,27498.5,32177,38499.7,44996.3,52943,63525.7,75482.6,101439.1,CHOLAHLDNG
Tangible Book Value/Share,84.713819,104.374639,160.244755,146.699452,171.579831,205.121432,239.704089,282.027269,338.365406,401.979019,540.154409,CHOLAHLDNG
Total Debt,194594.4,209311.1,14408.8,0,382765.2,504556.9,552988.5,640960.2,695649.2,975372.9,1342007,CHOLAHLDNG
Debt Equiv. of Unfunded Proj. Benefit Obligation,-1.9,22.6,13.2,16.6,12.1,127.7,163,224.1,154.8,66.7,,CHOLAHLDNG
Net Debt,182203.9,198708.5,1228.7,-3971.9,377760.9,470796.5,514805.9,624322.9,665361.7,961648.8,1294044,CHOLAHLDNG
Equity Method Investments,,,17366.8,20384,89,355.6,368.3,371.5,4940.4,4696,4769.4,CHOLAHLDNG
Full Time Employees,3486,3434,3409,,2,2,2,2,2,2,,CHOLAHLDNG
Filing Date,,,,,,,,,,,,CHOLAHLDNG
Restatement Type,,,,,,,,,,,,CHOLAHLDNG
Calculation Type,,,,,,,,,,,,CHOLAHLDNG
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,CHOLAHLDNG
,,,,,,,,,,,,CHOLAHLDNG
Cash And Equivalents,8128.437,3521.987,5094.636,4937.586,3095.8,31643.5,34951.4,14803.6,26988.4,9118.5,43937.3,CHOLAFIN
Long-term Investments,389.846,245.778,159.501,1820.752,227.2,415,327,15834.9,20550.5,35618.7,40357.5,CHOLAFIN
Trading Asset Securities,93.989,,,,59.9,886.9,1142,458.7,1865.3,2728.6,2478.2,CHOLAFIN
Loans And Lease Receivables,194281.268,221835.364,259101.291,284118.151,422439.6,526107.7,553957.3,658393.4,741447.1,1048096.5,1444626.5,CHOLAFIN
Other Receivables,2944.402,3132.949,3404.086,3065.106,3265,3219.9,5921.9,6822.7,7141.8,7031.2,7722.2,CHOLAFIN
"Gross Property, Plant & Equipment",1343.653,1489.168,1990.694,2391.93,1731.6,2183,4227.9,4538.5,5854.2,8171.7,,CHOLAFIN
Accumulated Depreciation,-657.4,-838.2,-928,-1195.5,-317.5,-733.3,-1604.3,-2455.9,-3202.4,-4067.4,,CHOLAFIN
"Net Property, Plant & Equipment",686.271,650.953,1062.737,1196.445,1414.1,1449.7,2623.6,2082.6,2651.8,4104.3,15394.5,CHOLAFIN
Goodwill,,,70.088,70.088,70.1,,,,,,,CHOLAFIN
Other Intangibles,56.33,37.795,69.473,230.792,258.3,361.7,312.7,291.1,306.4,526.2,364.4,CHOLAFIN
Other Current Assets,743.857,5865.148,1889.836,850.427,6955.9,6070.1,35934.3,39536.4,16330,21856.5,370.9,CHOLAFIN
"Deferred Tax Assets, LT",1296.487,1846.211,2823.882,3153.77,3658.1,4601.2,5274.7,7689.7,6749.1,6114.9,6558.5,CHOLAFIN
"Deferred Charges, LT",488.998,482.076,386.779,320.766,,,,,,,,CHOLAFIN
Other Long-Term Assets,6331.649,1061.404,4830.186,6218.435,223.8,145.5,138.9,528.5,756.4,1073.6,5054.1,CHOLAFIN
Total Assets,215441.534,238679.665,278892.495,305982.318,441667.8,574901.2,640583.8,746441.6,824786.8,1136269,1566864.1,CHOLAFIN
LIABILITIES,,,,,,,,,,,,CHOLAFIN
Customer Deposits: Int. Bearing < 100k,2.129,0.844,0.123,0.015,,,,,,,,CHOLAFIN
Total Deposits,2.129,0.844,0.123,0.015,,,,,,,,CHOLAFIN
Accounts Payable,1466.705,1673.833,2088.312,2986.85,2140.3,2314.5,2204.7,985.9,1275.9,1716.1,2956.9,CHOLAFIN
Accrued Exp.,3937.725,3915.166,4500.332,7061.071,407.1,588.6,719.2,928.1,1256.5,1310.1,,CHOLAFIN
Short-term Borrowings,31472.529,26763.402,39711.664,32304.605,23767.1,50177.2,30382.3,45991.7,40904.5,68567.1,1867,CHOLAFIN
Curr. Port. of LT Debt,50949.4,43494,76440.7,57355.633,91858,108324.1,143468.8,198521.9,207761.7,271786.2,,CHOLAFIN
Curr. Port. of Leases,,,,,,,515.8,445,470.9,1044.6,,CHOLAFIN
Long-Term Debt,98330,124245,109312.3,152055.996,268443.8,347250.2,376203.2,394060.5,444764.4,634564.4,1344748.8,CHOLAFIN
Long-Term Leases,,,,,,,726.7,480.3,632.7,634.3,,CHOLAFIN
Curr. Income Taxes Payable,24.336,29.256,63.575,,,,,422.5,,,,CHOLAFIN
"Unearned Revenue, Current",0.399,2.16,17.338,15.793,,,,,,,,CHOLAFIN
Other Current Liabilities,3041.937,3180.875,4277.953,4389.551,1010.5,1296.2,2597.7,7328,8990.8,11759.7,13382.6,CHOLAFIN
"Unearned Revenue, Non-Current",,,,,296.5,230.3,171.2,115,60.7,29.6,,CHOLAFIN
"Def. Tax Liability, Non-Curr.",,,,,,,,,6.5,,,CHOLAFIN
Other Non-Current Liabilities,3348.667,3631.448,5748.15,6813.704,2486.5,2633,1595.6,1164.7,972.2,1395.9,7976.4,CHOLAFIN
Total Liabilities,192573.827,206935.984,242160.447,262983.218,390409.8,512814.1,558585.2,650443.6,707096.8,992808,1370931.7,CHOLAFIN
"Pref. Stock, Convertible",,5000,,,,,,,,,,CHOLAFIN
Total Pref. Equity,,5000,,,,,,,,,,CHOLAFIN
Common Stock,1431.91,1436.692,1561.456,1562.775,1563.3,1563.6,1639.1,1640,1642.1,1644.1,1680.6,CHOLAFIN
Additional Paid In Capital,11648.597,11710.314,16669.85,16692.448,16668,16685,28567.8,28660.5,28889.2,29129.9,,CHOLAFIN
Retained Earnings,9456.055,13258.838,18134.406,24670.322,32677.3,43386.1,51882.1,66028.7,85922.6,110925.4,,CHOLAFIN
Treasury Stock,,,,,,,,,,,,CHOLAFIN
Comprehensive Inc. and Other,331.145,337.837,331.302,53.568,346,452.4,-90.4,-331.2,1236.1,1761.6,194251.8,CHOLAFIN
Total Common Equity,22867.707,26743.681,36697.014,42979.113,51254.6,62087.1,81998.6,95998,117690,143461,195932.4,CHOLAFIN
Minority Interest,,,35.034,19.987,3.4,,,,,,,CHOLAFIN
Total Equity,22867.707,31743.681,36732.048,42999.1,51258,62087.1,81998.6,95998,117690,143461,195932.4,CHOLAFIN
Total Liabilities And Equity,215441.534,238679.665,278892.495,305982.318,441667.8,574901.2,640583.8,746441.6,824786.8,1136269,1566864.1,CHOLAFIN
Supplemental Items,,,,,,,,,,,,CHOLAFIN
Total Shares Out. on Filing Date,715.95517,718.346015,780.72822,781.387665,781.656855,781.795565,819.577759,820.035129,821.071821,822.304077,840.08675,CHOLAFIN
Total Shares Out. on Balance Sheet Date,715.95517,718.346015,780.72822,781.387665,781.656855,781.795565,819.577759,820.035129,821.071821,822.040356,840.08675,CHOLAFIN
Book Value/Share,31.940138,37.229525,47.00357,55.003572,65.571739,79.416029,100.049811,117.065716,143.337034,174.518196,233.22877,CHOLAFIN
Tangible Book Value,22811.377,26705.886,36557.453,42678.233,50926.2,61725.4,81685.9,95706.9,117383.6,142934.8,195568,CHOLAFIN
Tangible Book Value/Share,31.861459,37.176911,46.824813,54.618513,65.151606,78.953377,99.668273,116.710731,142.963863,173.878081,232.795005,CHOLAFIN
Total Debt,180751.929,194502.402,225464.664,241716.234,384068.9,505751.5,551296.8,639499.4,694534.2,976596.6,1346615.8,CHOLAFIN
Debt Equiv. of Unfunded Proj. Benefit Obligation,95.352,129.056,140.515,262.795,-32.6,103.1,143.9,202.9,122.4,45.7,,CHOLAFIN
Net Debt,172529.503,190980.415,220370.028,236778.648,380913.2,473221.1,515203.4,624237.1,665680.5,964749.5,1300200.3,CHOLAFIN
Equity Method Investments,,,,,,251.9,247.7,242.4,4786.2,4510.5,4556.3,CHOLAFIN
Full Time Employees,2550,2674,2789,6776,6768,7003,7873,7620,9125,13248,,CHOLAFIN
Filing Date,,,,,,,,,,,,CHOLAFIN
Restatement Type,,,,,,,,,,,,CHOLAFIN
Calculation Type,,,,,,,,,,,,CHOLAFIN
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,CHOLAFIN
,,,,,,,,,,,,CHOLAFIN
Cash And Equivalents,892.7,501.5,944,677,1126,1135,2226,1444,712.94,2095.45,,CIEINDIA
Short Term Investments,493.3,,354,537,6793,1238,2993,4271,5563.58,7841.2,,CIEINDIA
Trading Asset Securities,,662.8,,,,,,,,,,CIEINDIA
Total Cash & ST Investments,1386,1164.3,1298,1214,7919,2373,5219,5715,6276.52,9936.65,10201.71,CIEINDIA
