Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Change in Net Working Capital,3225.8,6288.4,4113.9,-1919.3,9415.9,10462.4,-5510.1,-3601.9,1520.9,3794.2,27720.6,CIPLA
Net Debt Issued,433.2,5078.1,34417.8,-10802.5,-344.8,-602.5,-17600.2,-10774.6,-10983.3,-4855.9,-3774.8,CIPLA
Filing Date,,,,,,,,,,,,CIPLA
Restatement Type,,,,,,,,,,,,CIPLA
Calculation Type,,,,,,,,,,,,CIPLA
,,,,,,,,,,,,CIPLA
Net Income,151116.7,137267,142668.2,92800.2,70385.6,174630.7,167141.9,126998.9,173581,281651.9,374022.9,COALINDIA
Depreciation & Amort.,17990.2,21913.2,27193.6,28183.6,28956.6,33485.8,33570.1,36403.7,42518.3,45371.1,67354.2,COALINDIA
Amort. of Goodwill and Intangibles,,,3655.1,3785.5,4229.2,2513.3,,,,,,COALINDIA
"Impair. of Oil, Gas & Mineral Prop.",,,,,,88.5,,4.4,323.7,15.6,,COALINDIA
"Depreciation & Amort., Total",17990.2,21913.2,30848.7,31969.1,33185.8,36087.6,33570.1,36408.1,42842,45386.7,67354.2,COALINDIA
Other Amortization,1612.4,1217.7,35.1,39.9,35,28.9,2.7,3.2,5.8,210.8,,COALINDIA
(Gain) Loss From Sale Of Assets,-179.9,-49.7,-17.3,39.8,-194.3,29.3,5.5,10.2,154.8,-281.3,-188.5,COALINDIA
Asset Writedown & Restructuring Costs,356.2,89.4,1030.4,844,1342.1,900.4,935.5,767.2,1438.9,1155.2,816.4,COALINDIA
(Income) Loss on Equity Invest.,,,11.4,-17.6,,,11.7,29.7,85.9,81.4,-4268.3,COALINDIA
Provision & Write-off of Bad debts,,,,,604.5,149.3,3654.5,9617.1,1067.4,3342.3,,COALINDIA
Other Operating Activities,-28090.7,-23109.2,-16342,-24755.1,-44280.3,1479.1,27330.7,-9186.1,24688.5,-772.2,-94870.6,COALINDIA
Change in Acc. Receivable,22391.8,-2808.5,-29664.2,-10569.3,38789.3,7592.5,-89096.7,-61766.1,81487,-20270.3,-11466.6,COALINDIA
Change In Inventories,497.6,-6157.5,-14122.2,-13761,24812.2,8599.2,-10340.5,-23294.9,18717.9,-10790,-20670.8,COALINDIA
Change in Acc. Payable,,,,,6326.2,24435.7,-21670.1,12221.8,1303.9,-543.5,-1635.3,COALINDIA
Change in Other Net Operating Assets,-20447.4,15452.9,17089.6,88018.4,80143.1,-90377.5,-61772.9,14115.1,65694.6,57691.1,-128062.4,COALINDIA
Cash from Ops.,145246.9,143815.3,131537.7,164608.4,211149.2,163555.2,49772.4,105924.2,411067.7,356862.1,181031,COALINDIA
Capital Expenditure,-41163.8,-49014,-57856.7,-86761.3,-85293,-70569.5,-56202.7,-108799.5,-120237,-153135.6,-168213.4,COALINDIA
"Sale of Property, Plant, and Equipment",,,,,,569.5,309.7,276.6,276.1,1067.9,714.2,COALINDIA
Cash Acquisitions,,,,,,,,,,,,COALINDIA
Divestitures,,,,,,,,,,,,COALINDIA
Invest. in Marketable & Equity Securt.,62207.3,5085.9,89048.2,56666.2,-15513.6,-40408.3,35014,88183.7,-148170.3,-109003,93172.3,COALINDIA
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,COALINDIA
Other Investing Activities,64754.1,52871.1,50349.4,34641.5,23337.2,31443.7,31207.4,22158.2,10986.1,26840.8,29468.9,COALINDIA
Cash from Investing,85797.6,8943,81540.9,4546.4,-77469.4,-78964.6,10328.4,1819,-257145.1,-234229.9,-44858,COALINDIA
Short Term Debt Issued,,1997.9,,,,,,,,,,COALINDIA
Long-Term Debt Issued,,,9902.3,18168.5,,,49537.2,,,8051.5,15011.2,COALINDIA
Total Debt Issued,,1997.9,9902.3,18168.5,,,49537.2,,,8051.5,15011.2,COALINDIA
Short Term Debt Repaid,,,,,,,,,,,-51.3,COALINDIA
Long-Term Debt Repaid,-12633.7,-63.1,,,-14778.1,-586.7,,-5510,-25731.9,,-731.1,COALINDIA
Total Debt Repaid,-12633.7,-63.1,,,-14778.1,-586.7,,-5510,-25731.9,,-782.4,COALINDIA
Repurchase of Common Stock,,,,-36500,,-10499.9,,,,,,COALINDIA
Common Dividends Paid,-242430.2,-155962.6,-173068.4,-123527.6,-102196.4,-81128.9,-73938.8,-77063.6,-107833.7,-143280.7,-150978.5,COALINDIA
Total Dividends Paid,-242430.2,-155962.6,-173068.4,-123527.6,-102196.4,-81128.9,-73938.8,-77063.6,-107833.7,-143280.7,-150978.5,COALINDIA
Special Dividend Paid,,,,,,,,,,,,COALINDIA
Other Financing Activities,1561.4,3770.7,-32707.4,-34120.6,-18667.7,-16632.9,-23507.1,-1957.8,-846.8,-1382.2,-2243,COALINDIA
Cash from Financing,-253502.5,-150257.1,-195873.5,-175979.7,-135642.2,-108848.4,-47908.7,-84531.4,-134412.4,-136611.4,-138992.7,COALINDIA
Net Change in Cash,-22458,2501.2,17205.1,-6824.9,-1962.4,-24257.8,12192.1,23211.8,19510.2,-13979.2,-2819.7,COALINDIA
Supplemental Items,,,,,,,,,,,,COALINDIA
Cash Interest Paid,449.5,70.8,206.5,306.3,,,686.3,1957.8,846.8,1382.2,2243,COALINDIA
Cash Taxes Paid,88263.9,95720.5,113987.3,116918.9,95144.6,116121,76971.1,54259.7,55581.2,97497.2,117266.9,COALINDIA
Levered Free Cash Flow,60430.7,81145.1,47057.6,52955.6,79998.2,50538,-99651.7,-42630.1,217848.2,127701.9,16104.9,COALINDIA
Unlevered Free Cash Flow,60711.7,81189.4,49471.1,55513,82686.4,52186,-96508.4,-38616.1,221232.6,131978.9,21225.9,COALINDIA
Change in Net Working Capital,18022.7,-12642.8,23960,-49921.3,-95010.2,48991.7,188159.1,59947.7,-170727.7,-37870.9,135640.3,COALINDIA
Net Debt Issued,-12633.7,1934.8,9902.3,18168.5,-14778.1,-586.7,49537.2,-5510,-25731.9,8051.5,14228.8,COALINDIA
Filing Date,,,,,,,,,,,,COALINDIA
Restatement Type,,,,,,,,,,,,COALINDIA
Calculation Type,,,,,,,,,,,,COALINDIA
,,,,,,,,,,,,COALINDIA
Net Income,7733.4,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
Depreciation & Amort.,921.2,1195.1,1165.2,1214.1,1400.4,1662.4,1833.8,2526.2,3083.3,3392.6,3780,DIVISLAB
"Depreciation & Amort., Total",921.2,1195.1,1165.2,1214.1,1400.4,1662.4,1833.8,2526.2,3083.3,3392.6,3780,DIVISLAB
Other Amortization,,6.1,16.6,19.2,24.5,26.6,28.6,29.7,31.8,39.2,,DIVISLAB
(Gain) Loss From Sale Of Assets,0,-0.4,,37,62.6,13.9,32.5,59.6,20.5,11.3,40,DIVISLAB
(Gain) Loss On Sale Of Invest.,,,-7.1,10.2,-26.8,-272.2,-593.9,-26.5,,-50.4,-50,DIVISLAB
Asset Writedown & Restructuring Costs,24.5,229.8,42.4,,,,,,,,,DIVISLAB
Provision & Write-off of Bad debts,12.8,3.9,2.5,11.1,6.1,33.9,99.6,-1.1,-20.3,3.3,40,DIVISLAB
Other Operating Activities,-140.5,-430.8,-548.5,-20.7,-287.2,-450.6,-823.6,-320.7,102.7,-1220.6,-1130,DIVISLAB
Change in Acc. Receivable,-2256.7,-124.6,-1424,-407.2,-690.8,-1854.8,-2067,-2654,-7416.2,6504.1,-3610,DIVISLAB
Change In Inventories,-967.2,-2302.2,-451.9,-1120.9,-242.4,-4216.7,-915.2,-2813.7,-6833.9,-1717.9,-1840,DIVISLAB
Change in Acc. Payable,-71.2,804.2,17.8,1466.6,-412.7,841.6,938.5,1748,342.7,-340.6,620,DIVISLAB
Change in Other Net Operating Assets,311.3,367.1,307.7,-309.9,-845.2,231.5,-139.3,1078.9,202.9,-257.5,-1240,DIVISLAB
Cash from Ops.,5567.5,8263.3,10378.6,11503.7,7758.6,9543,12159.4,19469.3,19118,24597.3,12610,DIVISLAB
Capital Expenditure,-2464.5,-3072.1,-3957.5,-3767,-2738.8,-7330.7,-11832.1,-9101.9,-7132,-4730.2,-10030,DIVISLAB
"Sale of Property, Plant, and Equipment",0.9,0.5,,0.5,1.3,0.2,3.6,1.5,,0.1,,DIVISLAB
Cash Acquisitions,,,,,,,,,,,,DIVISLAB
Divestitures,,,,,,,,,,,,DIVISLAB
Invest. in Marketable & Equity Securt.,-940.6,-2311.3,-671.3,-8288.9,-2558.8,-429.5,10562.9,9281.6,-15485.3,-24392,4340,DIVISLAB
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,DIVISLAB
Other Investing Activities,352.7,174.4,564.7,659.4,513.3,906,430.9,570.1,668.1,2045.9,3000,DIVISLAB
Cash from Investing,-3051.5,-5208.4,-4064.1,-11396,-4783,-6854,-834.7,751.3,-21949.2,-27076.2,-2690,DIVISLAB
Short Term Debt Issued,,87.5,163.5,46.3,64.1,776,,,,,,DIVISLAB
Long-Term Debt Issued,,,,,,,,,,,,DIVISLAB
Total Debt Issued,,87.5,163.5,46.3,64.1,776,,,,,,DIVISLAB
Short Term Debt Repaid,-141.9,,,,,,-610.7,-332.8,-3.5,,,DIVISLAB
Long-Term Debt Repaid,-4.6,-5.5,,,,,-1.3,-7.4,-7.9,-4.3,-10,DIVISLAB
Total Debt Repaid,-146.5,-5.5,,,,,-612,-340.2,-11.4,-4.3,-10,DIVISLAB
Common Dividends Paid,-2329.4,-3105.9,-6390.2,,-3192.4,-2654.7,-8495,,-5309.4,-7964.1,-7960,DIVISLAB
Total Dividends Paid,-2329.4,-3105.9,-6390.2,,-3192.4,-2654.7,-8495,,-5309.4,-7964.1,-7960,DIVISLAB
Special Dividend Paid,,,,,,,,,,,,DIVISLAB
Other Financing Activities,-9.1,-5.7,-84.5,-22.5,-13.3,-580.7,-1807.2,-8.7,-3.6,-3.3,-20,DIVISLAB
Cash from Financing,-2485,-3029.5,-6311.2,23.8,-3141.6,-2459.4,-10914.2,-348.9,-5324.4,-7971.7,-7990,DIVISLAB
Net Change in Cash,31,25.4,3.3,131.5,-166,229.6,410.5,19871.7,-8155.6,-10450.6,1930,DIVISLAB
Supplemental Items,,,,,,,,,,,,DIVISLAB
Cash Interest Paid,9.1,5.7,24.3,22.5,5.5,21.2,55.4,3.9,7.3,6.6,20,DIVISLAB
Cash Taxes Paid,2133.2,2114.3,2608.9,3017,2685.5,5390.1,6198.5,6443.2,6409.8,4726.5,3760,DIVISLAB
Levered Free Cash Flow,2138,3398.7,323.6,5930.8,2780.6,352.2,-2402.2,7586.8,3984,14724.4,1757.9,DIVISLAB
Unlevered Free Cash Flow,2143.7,3402.3,338.8,5938.2,2784.1,365.4,-2367.6,7589.2,3986.3,14726.5,1776.6,DIVISLAB
Change in Net Working Capital,2115.2,1207.8,5045.2,65.5,2950.9,4671.8,2643.1,2207,14325.4,-3363.2,3392.1,DIVISLAB
Net Debt Issued,-146.5,82,163.5,46.3,64.1,776,-612,-340.2,-11.4,-4.3,-10,DIVISLAB
Filing Date,,,,,,,,,,,,DIVISLAB
Restatement Type,,,,,,,,,,,,DIVISLAB
Calculation Type,,,,,,,,,,,,DIVISLAB
,,,,,,,,,,,,DIVISLAB
Net Income,21515,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
Depreciation & Amort.,4805,5719,6780,7596,8285,8362,8640,8527,8152,8615,9576,DRREDDY
Amort. of Goodwill and Intangibles,2301,2381,3470,3681,3425,3828,3832,4269,3672,4021,5265,DRREDDY
"Depreciation & Amort., Total",7106,8100,10250,11277,11710,12190,12472,12796,11824,12636,14841,DRREDDY
(Gain) Loss From Sale Of Assets,-53,144,112,80,55,-1264,68,42,-1119,208,-900,DRREDDY
(Gain) Loss On Sale Of Invest.,-213,-755,-852,-956,-2270,-773,-929,-557,-277,-876,-3149,DRREDDY
Asset Writedown & Restructuring Costs,-497,629,288,445,53,210,16767,8588,7562,699,3,DRREDDY
(Income) Loss on Equity Invest.,-174,-195,-229,-349,-344,-438,-561,-480,-703,-370,-147,DRREDDY
Stock-Based Compensation,436,498,442,350,454,389,521,584,592,397,407,DRREDDY
Provision & Write-off of Bad debts,162,168,137,138,155,420,190,230,55,205,275,DRREDDY
Other Operating Activities,1570,9305,11245,3791,1726,-2662,-10649,7980,5104,8764,-1399,DRREDDY
Change in Acc. Receivable,118,-10905,833,3037,-2097,1797,-12446,2081,-17012,-5752,-8054,DRREDDY
Change In Inventories,-3971,-5447,-2522,-6325,-287,-4480,-1487,-12402,-9912,-2654,-18445,DRREDDY
Change in Acc. Payable,-2130,55,746,1886,2501,398,1576,2861,4412,23,3460,DRREDDY
Change in Other Net Operating Assets,-4406,1257,784,-3900,-3433,4122,4821,-3258,4014,528,2857,DRREDDY
Cash from Ops.,19463,25033,41247,21513,18029,28704,29841,35703,28108,58875,45433,DRREDDY
Capital Expenditure,-10081,-9339,-12017,-12278,-9291,-6955,-4846,-9741,-14660,-11323,-16403,DRREDDY
"Sale of Property, Plant, and Equipment",85,172,84,44,139,1265,131,85,370,82,1064,DRREDDY
Cash Acquisitions,,-276,-7936,-17,,,,-15514,-326,,,DRREDDY
Divestitures,,,,,,,,,,,,DRREDDY
Sale (Purchase) of Intangible assets,-517,-5988,-2858,-28706,-1752,-536,-1010,-2820,-1443,-7543,-11011,DRREDDY
Invest. in Marketable & Equity Securt.,-7090,-8290,1021,21858,-4391,-2282,-214,4110,-11201,-23366,-15716,DRREDDY
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,DRREDDY
Other Investing Activities,983,817,1283,628,412,781,1016,1220,873,777,1783,DRREDDY
Cash from Investing,-16620,-22904,-20423,-18471,-14883,-7727,-4923,-22660,-26387,-41373,-40283,DRREDDY
Short Term Debt Issued,,4068,,21536,,,4235,6791,3520,,5493,DRREDDY
Long-Term Debt Issued,10100,,,,19064,,,3800,,,3800,DRREDDY
Total Debt Issued,10100,4068,,21536,19064,,4235,10591,3520,,9293,DRREDDY
Short Term Debt Repaid,-858,,-273,,-18025,-15126,,,,-19382,,DRREDDY
Long-Term Debt Repaid,-5285,-3716,-11706,-5220,-157,-56,-23400,-4497,-785,-1015,-4947,DRREDDY
Total Debt Repaid,-6143,-3716,-11979,-5220,-18182,-15182,-23400,-4497,-785,-20397,-4947,DRREDDY
Issuance of Common Stock,2,206,1,1,1,,4,269,334,368,805,DRREDDY
Repurchase of Common Stock,,,,-15694,,-535,-474,-1193,,,,DRREDDY
Common Dividends Paid,-2552,-3067,-3411,-3312,-3317,-3320,-3314,-4147,-4146,-4979,-6648,DRREDDY
Total Dividends Paid,-2552,-3067,-3411,-3312,-3317,-3320,-3314,-4147,-4146,-4979,-6648,DRREDDY
Special Dividend Paid,,,,,,,,,,,,DRREDDY
Other Financing Activities,-1624,-1609,-1612,-1003,-2006,-2289,-2210,-1321,-1345,-1853,-2266,DRREDDY
Cash from Financing,-217,-4118,-17001,-3692,-4440,-21326,-25159,-298,-2422,-26861,-3763,DRREDDY
Foreign Exchange Rate Adj.,771,-1068,-4296,-492,57,35,-25,113,733,286,-59,DRREDDY
Net Change in Cash,3397,-3057,-473,-1142,-1237,-314,-266,12858,32,-9073,1328,DRREDDY
Supplemental Items,,,,,,,,,,,,DRREDDY
Cash Interest Paid,1166,1090,917,925,1331,1607,1608,1321,1345,1853,2266,DRREDDY
Cash Taxes Paid,7520,5916,7709,5848,3436,5523,7707,5716,7437,10714,20047,DRREDDY
Levered Free Cash Flow,5488.8,4643.4,21126.9,-24470.9,4537.1,15099.2,18748.2,19258.5,1030.6,29676.5,12231.1,DRREDDY
Unlevered Free Cash Flow,6285,5325.9,21643.1,-24074.6,5029.6,15654.9,19362.6,19864.8,1629.4,30569,13300.5,DRREDDY
Change in Net Working Capital,6493,4857,-7094,3060,3635,1815,6189,1680,17281,-2770,15765,DRREDDY
Net Debt Issued,3957,352,-11979,16316,882,-15182,-19165,6094,2735,-20397,4346,DRREDDY
Filing Date,,,,,,,,,,,,DRREDDY
Restatement Type,,,,,,,,,,,,DRREDDY
Calculation Type,,,,,,,,,,,,DRREDDY
,,,,,,,,,,,,DRREDDY
Net Income,6153.6,,10704.3,16670.8,19596.7,22027.3,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
Depreciation & Amort.,1781.4,,1027.7,1441.5,2084.3,2745.4,3453.4,3775.6,3746.3,4317.9,5976,EICHERMOT
Amort. of Goodwill and Intangibles,416.8,,,,,,,,,,,EICHERMOT
"Depreciation & Amort., Total",2198.2,,1027.7,1441.5,2084.3,2745.4,3453.4,3775.6,3746.3,4317.9,5976,EICHERMOT
Other Amortization,,,65.1,96.6,148.7,257.4,362,731.7,773,944.2,,EICHERMOT
(Gain) Loss From Sale Of Assets,11.7,,0.5,2.4,7.1,9.3,22.7,14.8,42.3,3.1,13.9,EICHERMOT
(Gain) Loss On Sale Of Invest.,-607.5,,-1303.9,-2197.4,-2350.2,-2886.8,-3029.8,-1066.9,-1553,-3011.2,-7198,EICHERMOT
Asset Writedown & Restructuring Costs,9.2,,10.8,0.7,0.4,30,4.2,,,,,EICHERMOT
(Income) Loss on Equity Invest.,,,-1183.5,-1894.7,-2565.6,-2584,-317.1,-311.3,-601.5,-3151.7,-4477.2,EICHERMOT
Stock-Based Compensation,,,186.3,205,235.1,153.9,255.2,374.8,-293.4,227.6,342.2,EICHERMOT
Provision & Write-off of Bad debts,,,,,,,,181.2,14,73.8,14.1,EICHERMOT
Net Cash From Discontinued Ops.,,,,0,0,0,,,,,,EICHERMOT
Other Operating Activities,689.6,,93.4,1120,3285.9,571.5,-2943.2,-2611.3,-2313.5,-725.2,-1323.5,EICHERMOT
Change in Acc. Receivable,-496.7,,-175.5,-174,-179.6,-175.6,-4.5,-726.7,-1465.7,-590.4,-51.8,EICHERMOT
Change In Inventories,-1187.2,,-835.4,-275.1,-587.4,-2387.4,610.3,-3022.5,-2578,-1460.4,-1312,EICHERMOT
Change in Acc. Payable,3213.1,,1928.1,1101,4065.6,621.8,-2347.2,4954.1,2833.8,221.5,3042,EICHERMOT
Change in Unearned Rev.,,,,,,-1854.2,2718.1,-1076.9,-534.2,288.6,835.1,EICHERMOT
Change in Other Net Operating Assets,490.7,,1186.9,982.9,1081.5,-773.9,-117.3,2224.2,434.3,2197.4,1366.2,EICHERMOT
Cash from Ops.,10474.7,,11704.6,17079.7,24822.5,15754.7,16941.2,16909.7,15270.4,28474.6,37237.1,EICHERMOT
Capital Expenditure,-9719.5,,-4079.9,-5477.3,-7485,-7915.1,-5459,-5322.2,-6408.3,-6824.9,-8185.1,EICHERMOT
"Sale of Property, Plant, and Equipment",37.4,,4.9,7.3,25.4,15.8,14.2,172.8,21.3,87.8,41.5,EICHERMOT
Cash Acquisitions,,,,,,,,,,,,EICHERMOT
Divestitures,,,,,,,,,,,,EICHERMOT
Invest. in Marketable & Equity Securt.,-1809.3,,-4898.1,-12022.4,-14656.8,-254.5,-12360.7,-8435.1,-5525.6,-20810.3,-23567.8,EICHERMOT
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,EICHERMOT
Other Investing Activities,-653.4,,961.9,56.6,666.2,1555,2721.4,-2668.5,2080.1,3331.4,3191.7,EICHERMOT
Cash from Investing,-12144.8,,-8011.2,-17435.8,-21450.2,-6598.8,-15084.1,-16253,-9832.5,-24216,-28519.7,EICHERMOT
Short Term Debt Issued,,,,3886.2,4953.8,3689.2,2672.2,397.6,321.4,636,1336.2,EICHERMOT
Long-Term Debt Issued,,,,,,,,,,1314.1,1857.6,EICHERMOT
Total Debt Issued,,,,3886.2,4953.8,3689.2,2672.2,397.6,321.4,1950.1,3193.8,EICHERMOT
Short Term Debt Repaid,-255.4,,,-3673.6,-4563.9,-3442.3,-2983.2,-267.8,-1366.9,-195.6,-1272.2,EICHERMOT
Long-Term Debt Repaid,,,,,,,-306.5,-394.9,-169.5,-188.8,-370.6,EICHERMOT
Total Debt Repaid,-255.4,,,-3673.6,-4563.9,-3442.3,-3289.7,-662.7,-1536.4,-384.4,-1642.8,EICHERMOT
Issuance of Common Stock,78.6,,38.5,57.4,194.9,361.3,289,383.6,64.9,112.2,465.7,EICHERMOT
Common Dividends Paid,-1151.6,,-3257,,-2722.2,-2999.3,-6824.3,,-4646.7,-5741.9,-10128.7,EICHERMOT
Total Dividends Paid,-1151.6,,-3257,,-2722.2,-2999.3,-6824.3,,-4646.7,-5741.9,-10128.7,EICHERMOT
Special Dividend Paid,,,,,,,,,,,,EICHERMOT
Other Financing Activities,-293.9,,-505.6,-17.1,-482.7,-531.9,-1429.7,-266.1,-136.8,-110.4,-331.6,EICHERMOT
Cash from Financing,-1622.3,,-3724.2,252.9,-2620.1,-2923,-8582.5,-147.6,-5933.6,-4174.4,-8443.6,EICHERMOT
Foreign Exchange Rate Adj.,,,,,,,,,,,180.4,EICHERMOT
Net Change in Cash,-3292.4,,-30.7,-103.2,752.2,6232.9,-6725.4,509.1,-495.7,84.2,454.2,EICHERMOT
Supplemental Items,,,,,,,,,,,,EICHERMOT
Cash Interest Paid,97.8,,17,17.1,33.7,49.6,166.7,157.8,187.4,182.2,354.4,EICHERMOT
Cash Taxes Paid,3006.2,,4637.8,6516.4,8520.2,9567.1,7546.1,4566,5136.1,7702.7,10678.3,EICHERMOT
Levered Free Cash Flow,1143.4,,,10796.7,15793.6,6487.4,9626.8,3844.2,5805.4,17501.7,12954.4,EICHERMOT
Unlevered Free Cash Flow,1204.6,,,10809.4,15816.4,6523.2,9737.8,3942.2,5907.7,17648.9,13272.4,EICHERMOT
Change in Net Working Capital,-3096.5,-602.4,,-1881.5,-4784.6,4904.3,11.2,3832.8,2219.8,-1258,8168.9,EICHERMOT
Net Debt Issued,-255.4,,,212.6,389.9,246.9,-617.5,-265.1,-1215,1565.7,1551,EICHERMOT
Filing Date,,,,,,,,,,,,EICHERMOT
Restatement Type,,,,,,,,,,,,EICHERMOT
Calculation Type,,,,,,,,,,,,EICHERMOT
* FYC - This company has changed its fiscal year end. Capital IQ will not create any calculated statements that mix data from before and after this change and indicates this border with the column highlighted above.,,,,,,,,,,,,EICHERMOT
,,,,,,,,,,,,EICHERMOT
Net Income,20715.4,17438,24681.4,31673,26785.8,16929.9,44117.4,43048.2,75497.8,68272.6,56244.9,GRASIM
Depreciation & Amort.,14401.4,15235.5,17729.4,17669.4,26814.3,35321.7,39667.4,34152.1,35210.6,38955.7,50013.2,GRASIM
Amort. of Goodwill and Intangibles,,23.6,,,,,,5635.7,4729.5,4953.4,,GRASIM
"Depreciation & Amort., Total",14401.4,15259.1,17729.4,17669.4,26814.3,35321.7,39667.4,39787.8,39940.1,43909.1,50013.2,GRASIM
Other Amortization,,,,,,,,,1301.2,1381,,GRASIM
(Gain) Loss From Sale Of Assets,-21.8,-17.4,-71.4,14.7,1054.7,530.8,761.1,628.2,446.5,332.2,81.9,GRASIM
(Gain) Loss On Sale Of Invest.,-3687,-3902.7,-4659.9,-5874.1,-9022.4,18018.5,-5308.4,-13232.9,-8683.8,-31727,-13676.6,GRASIM
Asset Writedown & Restructuring Costs,173.4,373.1,608.5,406.5,1482.2,940.1,12879.3,,,,,GRASIM
Provision for Credit Losses,,,,,139.9,,,,,,,GRASIM
Stock-Based Compensation,41.1,77.6,150.8,107.9,787.1,1175,729.7,392.2,666.5,1183.4,1824.4,GRASIM
Provision & Write-off of Bad debts,0.8,15.1,,,,,,,,,,GRASIM
Other Operating Activities,9858.2,19863.7,15408.6,20694.5,39525.4,51181.5,35989.5,103932.4,75254.9,147350.6,162079.7,GRASIM
Change in Acc. Receivable,-5618.9,-3446.3,-4374.2,-292.2,-7578.6,-12695.1,9350.4,-42,-10744.9,-4552.4,-10871,GRASIM
Change In Inventories,-4775,-5333.1,3506.7,-827.4,-7512.6,-3536.7,2600.2,5554.2,-33408.1,-15983.9,-24338,GRASIM
Change in Acc. Payable,4405.3,5614.3,3477.1,10660.2,8562.5,15125.1,11682.7,43852.1,48304.8,30085.7,59271.8,GRASIM
Change in Other Net Operating Assets,,,2226.6,-1354.5,-122437.3,-139576.6,13733.7,-73169.4,-118198.5,-367102.7,-387823.6,GRASIM
Cash from Ops.,35492.9,45941.4,58683.6,72878,-41399,-16585.8,166203,150750.8,70376.5,-126851.4,-107193.3,GRASIM
Capital Expenditure,-33656.5,-32991.9,-27738.4,-18395.8,-32887.1,-41789.5,-50768.3,-36485.6,-85876.8,-120361.6,-194850.3,GRASIM
"Sale of Property, Plant, and Equipment",165.8,197.8,258.2,465.8,2429.7,1701.8,945.9,983.4,825.6,1114.9,1563.5,GRASIM
Cash Acquisitions,-2370.3,-205.6,-127.5,,-9033.1,-1590.5,,,-416,-193.4,,GRASIM
Divestitures,,,95.3,,62.6,0.7,1566.9,,,34.9,,GRASIM
Invest. in Marketable & Equity Securt.,8884.6,8950.4,-19819.4,-18617,42622.4,17506.6,-69831.1,-56679.6,47610.1,-22609.5,-41139.2,GRASIM
Net (Inc.) Dec. in Loans Originated/Sold,1939.2,-284.7,,,,,,,-42,-1066.1,,GRASIM
Other Investing Activities,1142.6,630.4,1606.1,1670.5,1903.1,3340.8,2695.7,-113.1,2467.3,6213.7,3294,GRASIM
Cash from Investing,-23894.6,-23703.6,-45725.7,-34876.5,5097.6,-20830.1,-115390.9,-92294.9,-35431.8,-136867.1,-231132,GRASIM
Short Term Debt Issued,,15785.6,5265.2,,26882,,,,15443.8,57482.8,116394.8,GRASIM
Long-Term Debt Issued,9865.5,12644.2,28659.7,36705,232706.7,311660.9,187677.6,159666.1,152399.1,398388.7,417272.6,GRASIM
Total Debt Issued,9865.5,28429.8,33924.9,36705,259588.7,311660.9,187677.6,159666.1,167842.9,455871.5,533667.4,GRASIM
Short Term Debt Repaid,-3334.2,,,-23139.1,,-32669.6,-64751.2,-7850.5,,,,GRASIM
Long-Term Debt Repaid,-7833.4,-41615.8,-36861.9,-41163.4,-206678.7,-213678.5,-143334.5,-211091.1,-214175.1,-167265.5,-195568.5,GRASIM
Total Debt Repaid,-11167.6,-41615.8,-36861.9,-64302.5,-206678.7,-246348.1,-208085.7,-218941.6,-214175.1,-167265.5,-195568.5,GRASIM
Issuance of Common Stock,124.5,442.7,79.2,92.5,859.8,85.8,90.2,226.9,281,348.5,11006.4,GRASIM
Repurchase of Common Stock,,,,,,-1879.9,-85.5,,-1531.4,-2225.7,-1706.8,GRASIM
Common Dividends Paid,,,,-3693.4,-5746.8,-6256,-7053.1,-2620.8,-3289.9,-8214,-11255.5,GRASIM
Common and/or Pref. Dividends Paid,-3018.8,-2898,-3214.1,,,,,,,,,GRASIM
Total Dividends Paid,-3018.8,-2898,-3214.1,-3693.4,-5746.8,-6256,-7053.1,-2620.8,-3289.9,-8214,-11255.5,GRASIM
Special Dividend Paid,,,,,,,,,-2632.2,-3291.6,,GRASIM
Other Financing Activities,-6266.4,-7138.5,-7573.8,-6787.2,-13532.3,-17562.7,-6808.8,-18365.1,-13826.6,-10531.9,2938.8,GRASIM
Cash from Financing,-10462.8,-22779.8,-13645.7,-37985.6,34490.7,39700,-34265.3,-80034.5,-67331.3,264691.3,339081.8,GRASIM
Foreign Exchange Rate Adj.,537,122.9,533.6,-211.1,41.9,4.1,4.7,3.3,-4.7,-6.1,-5.6,GRASIM
Misc. Cash Flow Adj.,2.6,-5.8,40.6,,10323.8,582.2,1831.8,20829.2,24910.9,-248.1,,GRASIM
Net Change in Cash,1675.1,-424.9,-113.6,-195.2,8555,2870.4,18383.3,-746.1,-7480.4,718.6,750.9,GRASIM
Supplemental Items,,,,,,,,,,,,GRASIM
Cash Interest Paid,5748.9,6904.4,7582.7,6787.2,13499.4,19167.5,21804.7,18314.6,13225.5,11938,18575.6,GRASIM
