Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Net Income,11807.7,13599.9,10063.9,14105.3,15277,15465.2,24048.7,25167.5,28019.1,41215.5,CIPLA
Pref. Dividends and Other Adj.,,,,,,,,,,,CIPLA
NI to Common Incl Extra Items,11807.7,13599.9,10063.9,14105.3,15277,15465.2,24048.7,25167.5,28019.1,41215.5,CIPLA
NI to Common Excl. Extra Items,11807.7,13599.9,10063.9,14105.3,15277,15465.2,24048.7,25167.5,28019.1,41215.5,CIPLA
Per Share Items,,,,,,,,,,,CIPLA
Basic EPS,14.7,16.9,12.5,17.5,19,19.2,29.8,31.2,34.7,51,CIPLA
Basic EPS Excl. Extra Items,14.7,16.9,12.5,17.5,19,19.2,29.8,31.2,34.7,51,CIPLA
Weighted Avg. Basic Shares Out.,802.9,803.1,804,804.8,805.4,806,806.4,806.7,807,807.4,CIPLA
Diluted EPS,14.7,16.9,12.5,17.5,18.9,19.2,29.8,31.2,34.7,51,CIPLA
Diluted EPS Excl. Extra Items,14.7,16.9,12.5,17.5,18.9,19.2,29.8,31.2,34.7,51,CIPLA
Weighted Avg. Diluted Shares Out.,805.6,805.4,805.3,806.1,806.8,807.1,807.3,807.4,807.6,808,CIPLA
Normalized Basic EPS,11.6,12.5,11.3,15,16.3,16.4,25.2,27.6,32.2,45.2,CIPLA
Normalized Diluted EPS,11.5,12.4,11.3,15,16.3,16.4,25.1,27.6,32.1,45.2,CIPLA
Dividends per Share,2,2,2,3,3,3,5,5,8.5,13,CIPLA
Payout Ratio %,0.1,0.1,0.2,0.1,0.2,0.2,,0.2,0.1,0.2,CIPLA
Revenue,720146.2,755183.3,754591.1,810818,928960.8,893733.4,827103.2,1005625.7,1276274.7,1303256.5,COALINDIA
Other Revenue,-877.4,44.1,2195,11574.6,30122.5,30766.3,30714.2,91528.5,106244.4,,COALINDIA
Total Revenue,719268.8,755227.4,756786.1,822392.6,959083.3,924499.7,857817.4,1097154.2,1382519.1,1303256.5,COALINDIA
Cost Of Goods Sold,141476.3,134555.8,140061.9,170870.8,170023,150115.4,143858.6,215410.4,239283.2,376563.9,COALINDIA
Gross Profit,577792.5,620671.6,616724.2,651521.8,789060.3,774384.3,713958.8,881743.8,1143235.9,926692.6,COALINDIA
Selling General & Admin Exp.,350292.1,385417.7,422440.8,516388.1,480766.8,493189,507356.3,551845,679978.9,487825.8,COALINDIA
Provision for Bad Debts,288.9,2945.1,169.5,7.2,,279,,,1919,,COALINDIA
R & D Exp.,,,,,,,,,,,COALINDIA
Depreciation & Amort.,22903.1,27228.7,28223.5,29284.9,33514.7,33572.8,36406.9,42524.1,45581.9,67354.2,COALINDIA
"Impair. of Oil, Gas & Mineral Prop.",,,,,88.5,,4.4,323.7,15.6,,COALINDIA
Other Operating Expense/(Income),53220.9,44433.7,69340,42244.2,57681.1,64494.6,20239.5,82420.5,93106.8,-40848.1,COALINDIA
"Other Operating Exp., Total",426705,460025.2,520173.8,587924.4,572051.1,591535.4,564007.1,677113.3,820602.2,514331.9,COALINDIA
Operating Income,151087.5,160646.4,96550.4,63597.4,217009.2,182848.9,149951.7,204630.5,322633.7,412360.7,COALINDIA
Interest Expense,-70.8,-3861.6,-4091.8,-4301,-2636.8,-5029.2,-6422.4,-5414.9,-6843.1,-8193.7,COALINDIA
Interest and Invest. Income,55774.9,50130.6,37306,29517.5,34104,34671,15134.1,16235.6,30690.9,150879.9,COALINDIA
Net Interest Exp.,55704.1,46269,33214.2,25216.5,31467.2,29641.8,8711.7,10820.7,23847.8,142686.2,COALINDIA
Income/(Loss) from Affiliates,,-11.4,-17.6,4.4,-20,-11.7,-29.7,-85.9,-81.4,4268.3,COALINDIA
Currency Exchange Gains (Loss),-123.5,-248.4,-13,112.4,-104.5,-125.6,63.1,-71.7,-45.5,,COALINDIA
Other Non-Operating Inc. (Exp.),8193,7028.9,8784.2,10623.9,8777.6,6789.8,7511.3,9332.8,14159,-71189.1,COALINDIA
EBT Excl. Unusual Items,214861.1,213684.5,138518.2,99554.6,257129.5,219143.2,166208.1,224626.4,360513.6,488126.1,COALINDIA
Restructuring Charges,-43.8,-30.5,-9.1,,,,,,,,COALINDIA
Impairment of Goodwill,,,,,,,,,,,COALINDIA
Gain (Loss) On Sale Of Invest.,,,,,,377.6,580.2,1384.2,3383.5,,COALINDIA
Gain (Loss) On Sale Of Assets,49.7,17.3,-39.8,194.3,-29.3,-5.5,-10.2,-154.8,281.3,,COALINDIA
Asset Writedown,-151.5,-1073.3,-886.8,-1342.1,-900.4,-939.5,-825.3,-1553.1,-1155.5,,COALINDIA
Other Unusual Items,1123.7,1788.6,6863.2,9300.7,15068.9,22137.4,14139.6,11860.1,16985.2,,COALINDIA
EBT Incl. Unusual Items,215839.2,214386.6,144445.7,107707.5,271268.7,240713.2,180092.4,236162.8,380008.1,488126.1,COALINDIA
Income Tax Expense,78573,71718.7,51647.9,37323.1,96624.5,73709.8,53070.7,62378.6,98758.7,114434.8,COALINDIA
Earnings from Cont. Ops.,137266.2,142667.9,92797.8,70384.4,174644.2,167003.4,127021.7,173784.2,281249.4,373691.3,COALINDIA
Earnings of Discontinued Ops.,-0.1,-0.1,-0.1,,,,,,,,COALINDIA
Extraord. Item & Account. Change,,,,,,,,,,,COALINDIA
Net Income to Company,137266.1,142667.8,92797.7,70384.4,174644.2,167003.4,127021.7,173784.2,281249.4,373691.3,COALINDIA
Minority Int. in Earnings,0.9,0.4,2.5,1.2,-13.5,138.5,-22.8,-203.2,402.5,331.6,COALINDIA
Net Income,137267,142668.2,92800.2,70385.6,174630.7,167141.9,126998.9,173581,281651.9,374022.9,COALINDIA
Pref. Dividends and Other Adj.,,,,,,,,,,,COALINDIA
NI to Common Incl Extra Items,137267,142668.2,92800.2,70385.6,174630.7,167141.9,126998.9,173581,281651.9,374022.9,COALINDIA
NI to Common Excl. Extra Items,137267.1,142668.3,92800.3,70385.6,174630.7,167141.9,126998.9,173581,281651.9,374022.9,COALINDIA
Per Share Items,,,,,,,,,,,COALINDIA
Basic EPS,21.7,22.6,14.8,11.3,28.1,27.1,20.6,28.2,45.7,60.7,COALINDIA
Basic EPS Excl. Extra Items,21.7,22.6,14.8,11.3,28.1,27.1,20.6,28.2,45.7,60.7,COALINDIA
Weighted Avg. Basic Shares Out.,6316.4,6316.4,6270.1,6207.4,6206.3,6162.7,6162.7,6162.7,6162.7,6162.8,COALINDIA
Diluted EPS,21.7,22.6,14.8,11.3,28.1,27.1,20.6,28.2,45.7,60.7,COALINDIA
Diluted EPS Excl. Extra Items,21.7,22.6,14.8,11.3,28.1,27.1,20.6,28.2,45.7,60.7,COALINDIA
Weighted Avg. Diluted Shares Out.,6316.9,6316.4,6270.3,6207.4,6206.3,6162.7,6162.7,6162.7,6162.7,6162.8,COALINDIA
Normalized Basic EPS,21.3,21.1,13.8,10,25.9,22.2,16.9,22.7,36.6,49.6,COALINDIA
Normalized Diluted EPS,21.3,21.1,13.8,10,25.9,22.2,16.9,22.7,36.6,49.6,COALINDIA
Dividends per Share,20.7,27.4,19.9,16.5,13.1,12,16,17,24.2,25.5,COALINDIA
Payout Ratio %,1.1,1.2,1.3,1.5,0.5,0.4,0.6,0.6,0.5,0.4,COALINDIA
Revenue,31032.3,37763.6,40643.4,38914.9,49462.6,53944.2,69694,89598.3,77675.1,78450,DIVISLAB
Other Revenue,16.2,,,,0.1,0.5,0.7,0.9,1,,DIVISLAB
Total Revenue,31048.6,37763.6,40643.4,38914.9,49462.7,53944.7,69694.7,89599.2,77676.1,78450,DIVISLAB
Cost Of Goods Sold,12681.1,15712.7,16109.6,16220.7,19240.8,22455.5,24718.2,31604.7,32717,31290,DIVISLAB
Gross Profit,18367.5,22051,24533.8,22694.2,30221.9,31489.2,44976.5,57994.5,44959.1,47160,DIVISLAB
Selling General & Admin Exp.,2925.4,3667.1,5088.7,4650.4,5519,6316.8,8366.9,9570.9,9870.4,10940,DIVISLAB
Provision for Bad Debts,1.4,1.7,1.4,0.4,6.2,,,,,,DIVISLAB
R & D Exp.,251.7,277.4,,,,,,,,,DIVISLAB
Depreciation & Amort.,1360,1181.8,1233.3,1424.9,1689,1862.4,2555.9,3115.1,3431.8,3780,DIVISLAB
Other Operating Expense/(Income),3459.3,3867.4,4550.6,5340.3,5921.4,6917.7,7906.1,9582.8,11398.2,14170,DIVISLAB
"Other Operating Exp., Total",7997.8,8995.5,10874,11416,13135.6,15096.9,18828.9,22268.8,24700.4,28890,DIVISLAB
Operating Income,10369.7,13055.5,13659.8,11278.2,17086.3,16392.3,26147.6,35725.7,20258.7,18270,DIVISLAB
Interest Expense,-5.7,-24.3,-11.9,-5.5,-21.2,-55.4,-3.9,-3.7,-3.3,-30,DIVISLAB
Interest and Invest. Income,407.7,564.7,683.7,804.7,915.4,440.3,572.4,689.6,2045.9,,DIVISLAB
Net Interest Exp.,402.1,540.4,671.8,799.2,894.2,384.9,568.5,685.9,2042.6,-30,DIVISLAB
Currency Exchange Gains (Loss),18.6,372.4,-396.3,279.5,308.6,821.1,-43.8,405.8,1296.7,300,DIVISLAB
Other Non-Operating Inc. (Exp.),-12.1,-2.8,1.6,-7.8,3.3,34.9,21.2,38.1,99.6,3090,DIVISLAB
EBT Excl. Unusual Items,10778.2,13965.4,13936.9,12349.1,18292.4,17633.2,26693.5,36855.5,23697.6,21630,DIVISLAB
Impairment of Goodwill,,,,,,,,,,,DIVISLAB
Gain (Loss) On Sale Of Invest.,,7.1,-10.2,26.8,272.2,593.9,26.5,,,,DIVISLAB
Gain (Loss) On Sale Of Assets,0.4,,-5.1,-62.6,-13.9,-32.5,-59.6,-20.5,-11.3,,DIVISLAB
Asset Writedown,-70.9,-42.4,,,,,,,,,DIVISLAB
Insurance Settlements,,,31.8,,,,,,,,DIVISLAB
Other Unusual Items,13.1,-1.7,,,,,,,,,DIVISLAB
EBT Incl. Unusual Items,10720.8,13928.4,13953.4,12313.3,18550.7,18194.6,26660.4,36835,23686.3,21630,DIVISLAB
Income Tax Expense,2205.6,2670.6,3349.2,3543.2,5023.3,4429.2,6817.5,7230.5,5452.5,5630,DIVISLAB
Earnings from Cont. Ops.,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
Earnings of Discontinued Ops.,,,,,,,,,,,DIVISLAB
Extraord. Item & Account. Change,,,,,,,,,,,DIVISLAB
Net Income to Company,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
Minority Int. in Earnings,,,,,,,,,,,DIVISLAB
Net Income,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
Pref. Dividends and Other Adj.,,,,,,,,,,,DIVISLAB
NI to Common Incl Extra Items,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
NI to Common Excl. Extra Items,8515.2,11257.8,10604.2,8770.1,13527.4,13765.4,19842.9,29604.5,18233.8,16000,DIVISLAB
Per Share Items,,,,,,,,,,,DIVISLAB
Basic EPS,32.1,42.4,39.9,33,51,51.9,74.7,111.5,68.7,60.3,DIVISLAB
Basic EPS Excl. Extra Items,32.1,42.4,39.9,33,51,51.9,74.7,111.5,68.7,60.3,DIVISLAB
Weighted Avg. Basic Shares Out.,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,DIVISLAB
Diluted EPS,32.1,42.4,39.9,33,51,51.8,74.7,111.5,68.7,60.3,DIVISLAB
Diluted EPS Excl. Extra Items,32.1,42.4,39.9,33,51,51.8,74.7,111.5,68.7,60.3,DIVISLAB
Weighted Avg. Diluted Shares Out.,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,265.5,DIVISLAB
Normalized Basic EPS,25.4,32.9,32.8,29.1,43.1,41.5,62.8,86.8,55.8,50.9,DIVISLAB
Normalized Diluted EPS,25.4,32.9,32.8,29.1,43.1,41.5,62.8,86.8,55.8,50.9,DIVISLAB
Dividends per Share,10,10,10,10,16,16,20,30,30,30,DIVISLAB
Payout Ratio %,0.4,0.6,,0.4,0.2,0.6,,0.2,0.4,0.5,DIVISLAB
Supplemental Items,,,,,,,,,,,DIVISLAB
EBITDA,11564.7,14220.7,14873.9,12678.6,18748.7,18224,28665.5,38800.8,23641.5,22050,DIVISLAB
Revenue,147360,153866,139870,141855,153851,174600,189722,214391,245879,279164,DRREDDY
Other Revenue,,,,,,,,,,,DRREDDY
Total Revenue,147360,153866,139870,141855,153851,174600,189722,214391,245879,279164,DRREDDY
Cost Of Goods Sold,61957,61585,61514,65551,70421,80591,86645,100551,106536,115557,DRREDDY
Gross Profit,85403,92281,78356,76304,83430,94009,103077,113840,139343,163607,DRREDDY
Selling General & Admin Exp.,42076,45641,46300,46857,48680,50129,54650,62081,68026,77201,DRREDDY
R & D Exp.,17329,17701,19513,18265,15607,15410,16541,17482,19381,22873,DRREDDY
Depreciation & Amort.,,,,,,,,,,,DRREDDY
Other Operating Expense/(Income),-1061,-986,-728,-843,-532,-843,-1024,-1642,-1480,-1775,DRREDDY
"Other Operating Exp., Total",58344,62356,65085,64279,63755,64696,70167,77921,85927,98299,DRREDDY
Operating Income,27059,29925,13271,12025,19675,29313,32910,35919,53416,65308,DRREDDY
Interest Expense,-1092,-826,-634,-788,-889,-983,-970,-958,-1428,-1711,DRREDDY
Interest and Invest. Income,1061,1399,558,540,770,888,826,965,1180,2278,DRREDDY
Net Interest Exp.,-31,573,-76,-248,-119,-95,-144,7,-248,567,DRREDDY
Income/(Loss) from Affiliates,195,229,349,344,438,561,480,703,370,147,DRREDDY
Currency Exchange Gains (Loss),1801,488,-74,58,463,639,1240,1835,2225,278,DRREDDY
Other Non-Operating Inc. (Exp.),,,,,,5,557,277,-152,46,DRREDDY
EBT Excl. Unusual Items,29024,31215,13470,12179,20457,30423,35043,38741,55611,66346,DRREDDY
Impairment of Goodwill,,,,,,,,,,,DRREDDY
Gain (Loss) On Sale Of Invest.,755,852,956,2270,773,929,,,1028,3103,DRREDDY
Gain (Loss) On Sale Of Assets,-144,-112,-80,-55,1423,-10,-42,1119,-1211,900,DRREDDY
Asset Writedown,-629,-194,-110,-53,-210,-16767,-8588,-7562,-699,-3,DRREDDY
Legal Settlements,,,417,,,,,,5638,1524,DRREDDY
Other Unusual Items,-843,-4621,,,,3457,,,,,DRREDDY
EBT Incl. Unusual Items,28163,27140,14653,14341,22443,18032,26413,32298,60367,71870,DRREDDY
Income Tax Expense,5984,7127,2614,4535,3648,-1466,9175,8730,15300,16186,DRREDDY
Earnings from Cont. Ops.,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
Earnings of Discontinued Ops.,,,,,,,,,,,DRREDDY
Extraord. Item & Account. Change,,,,,,,,,,,DRREDDY
Net Income to Company,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
Minority Int. in Earnings,,,,,,,,,,,DRREDDY
Net Income,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
Pref. Dividends and Other Adj.,,,,,,,,,,,DRREDDY
NI to Common Incl Extra Items,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
NI to Common Excl. Extra Items,22179,20013,12039,9806,18795,19498,17238,23568,45067,55684,DRREDDY
Per Share Items,,,,,,,,,,,DRREDDY
Basic EPS,130.2,117.3,72.2,59.1,113.3,117.6,103.9,142.1,271.4,334.7,DRREDDY
Basic EPS Excl. Extra Items,130.2,117.3,72.2,59.1,113.3,117.6,103.9,142.1,271.4,334.7,DRREDDY
Weighted Avg. Basic Shares Out.,170.3,170.5,166.6,165.8,165.9,165.8,165.8,165.9,166,166.4,DRREDDY
Diluted EPS,129.8,117,72.1,59,113.1,117.4,103.6,141.7,270.8,334,DRREDDY
Diluted EPS Excl. Extra Items,129.8,117,72.1,59,113.1,117.4,103.6,141.7,270.8,334,DRREDDY
Weighted Avg. Diluted Shares Out.,170.9,171.1,167,166.2,166.2,166.1,166.3,166.3,166.4,166.7,DRREDDY
Normalized Basic EPS,106.5,114.4,50.5,45.9,77.1,114.7,132.1,146,209.3,249.2,DRREDDY
Normalized Diluted EPS,106.1,114,50.4,45.8,76.9,114.5,131.7,145.6,208.9,248.7,DRREDDY
Dividends per Share,20,20,20,20,20,25,25,30,40,40,DRREDDY
Payout Ratio %,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,DRREDDY
Shares per Depository Receipt,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,DRREDDY
Revenue,117267.7,36404.9,70030.1,89208.6,97174.4,90735.5,86615.6,101270.7,141759,162340.2,EICHERMOT
Other Revenue,1970.2,-350.4,49.1,43.5,336,253.3,148.9,689.5,1485.2,3017.6,EICHERMOT
Total Revenue,119237.9,36054.5,70079.2,89252.1,97510.4,90988.8,86764.5,101960.2,143244.2,165357.8,EICHERMOT
Cost Of Goods Sold,77081.8,18255,37592.9,47132.3,51512.4,50961.4,52236.1,60895.3,83468.6,89806.5,EICHERMOT
Gross Profit,42156.1,17799.5,32486.3,42119.8,45998,40027.4,34528.4,41064.9,59775.6,75551.3,EICHERMOT
Selling General & Admin Exp.,8302.2,2276,4741,6296.8,7814.9,8319.1,8758.8,8799.5,10902.5,12356.9,EICHERMOT
R & D Exp.,,,,,,,,,,,EICHERMOT
Depreciation & Amort.,3430.9,598.6,1538.1,2233,3002.8,3815.4,4507.3,4519.3,5262.1,5976,EICHERMOT
Other Operating Expense/(Income),15780.6,2258.7,5947.8,7912.1,9282.9,10073,8118.2,11250.2,15249.3,19925.3,EICHERMOT
"Other Operating Exp., Total",27513.7,5133.3,12226.9,16441.9,20100.6,22207.5,21384.3,24569,31413.9,38258.2,EICHERMOT
Operating Income,14642.4,12666.2,20259.4,25677.9,25897.4,17819.9,13144.1,16495.9,28361.7,37293.1,EICHERMOT
Interest Expense,-80.6,-1.8,-20.3,-36.5,-57.3,-177.6,-156.8,-163.7,-235.5,-508.8,EICHERMOT
Interest and Invest. Income,,64.9,39.5,393.6,1303.6,2206.6,3115.3,2453.8,1771.8,,EICHERMOT
Net Interest Exp.,-80.6,63.1,19.2,357.1,1246.3,2029,2958.5,2290.1,1536.3,-508.8,EICHERMOT
Income/(Loss) from Affiliates,,1479.4,1894.7,2565.6,2584,317.1,311.3,601.5,3151.7,4477.2,EICHERMOT
Currency Exchange Gains (Loss),,-13.5,-118,3.7,-38.1,-175.4,-79.9,125.9,194.6,,EICHERMOT
Other Non-Operating Inc. (Exp.),838.7,1371.4,2281.6,2559.7,3322.6,3585.2,1632.2,2554,4755.1,10758.7,EICHERMOT
EBT Excl. Unusual Items,15400.5,15566.6,24336.9,31164,33012.2,23575.8,17966.2,22067.4,37999.4,52020.2,EICHERMOT
Impairment of Goodwill,,,,,,,,,,,EICHERMOT
Gain (Loss) On Sale Of Invest.,,,,,,,,,,,EICHERMOT
Gain (Loss) On Sale Of Assets,,-0.6,-2.4,-7.1,-9.3,-22.7,-14.8,-42.3,-3.1,,EICHERMOT
Asset Writedown,,-13.5,-0.7,-0.4,-30,-4.2,,,,,EICHERMOT
Other Unusual Items,,,,,,,32.5,,,,EICHERMOT
EBT Incl. Unusual Items,15400.5,15552.5,24333.8,31156.5,32972.9,23548.9,17983.9,22025.1,37996.3,52020.2,EICHERMOT
Income Tax Expense,4705.9,4334.9,7203,9359.3,10770.4,5274.5,4515,5259.1,8856.9,12010.1,EICHERMOT
Earnings from Cont. Ops.,10694.6,11217.6,17130.8,21797.2,22202.5,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
Earnings of Discontinued Ops.,,,-460,-2200.5,-175.2,,,,,,EICHERMOT
Extraord. Item & Account. Change,,,,,,,,,,,EICHERMOT
Net Income to Company,10694.6,11217.6,16670.8,19596.7,22027.3,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
Minority Int. in Earnings,-1260.8,210,,,,,,,,,EICHERMOT
Net Income,9433.8,11427.6,16670.8,19596.7,22027.3,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
Pref. Dividends and Other Adj.,,,,,,,,,,,EICHERMOT
NI to Common Incl Extra Items,9433.8,11427.6,16670.8,19596.7,22027.3,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
NI to Common Excl. Extra Items,9433.8,11427.6,17130.8,21797.2,22202.5,18274.4,13468.9,16766,29139.4,40010.1,EICHERMOT
Per Share Items,,,,,,,,,,,EICHERMOT
Basic EPS,34.8,42.1,61.3,72,80.8,67,49.3,61.3,106.6,146.2,EICHERMOT
Basic EPS Excl. Extra Items,34.8,42.1,63,80.1,81.4,67,49.3,61.3,106.6,146.2,EICHERMOT
Weighted Avg. Basic Shares Out.,271.3,271.4,271.9,272.3,272.7,272.9,273.2,273.4,273.5,273.7,EICHERMOT
Diluted EPS,34.6,42,61.1,71.8,80.7,66.9,49.2,61.3,106.4,145.9,EICHERMOT
Diluted EPS Excl. Extra Items,34.6,42,62.8,79.9,81.3,66.9,49.2,61.3,106.4,145.9,EICHERMOT
Weighted Avg. Diluted Shares Out.,272.5,272.4,272.6,272.8,273,273.1,273.5,273.7,273.9,274.2,EICHERMOT
Normalized Basic EPS,30.8,36.6,55.9,71.5,75.7,54,41.1,50.4,86.9,118.8,EICHERMOT
Normalized Diluted EPS,30.7,36.5,55.8,71.4,75.6,54,41.1,50.4,86.7,118.6,EICHERMOT
Dividends per Share,10,8,10,11,12.5,12.5,17,21,37,51,EICHERMOT
Payout Ratio %,,0.3,,0.1,0.1,0.4,,0.3,0.2,0.3,EICHERMOT
Supplemental Items,,,,,,,,,,,EICHERMOT
EBITDA,16423.8,13693.9,21700.9,27762.2,28642.8,20932.1,16652.1,20062.9,32473.6,43269.1,EICHERMOT
EBITA,14642.4,12666.2,20259.4,25677.9,25897.4,17819.9,13144.1,16495.9,28361.7,37293.1,EICHERMOT
Revenue,324286.5,344874.7,360684,558935,772002.5,751407.1,764042.9,736067.9,902789.9,969703.3,GRASIM
Finance Div. Revenue,,,,,,,,105865,133551.6,340081.5,GRASIM
Insurance Div. Revenue,,,,,,,,115078.4,139929.3,,GRASIM
Other Revenue,463.4,,,,,,,,,,GRASIM
Total Revenue,324749.9,344874.7,360684,558935,772002.5,751407.1,764042.9,957011.3,1176270.8,1309784.8,GRASIM
Cost Of Goods Sold,154120.4,156587.7,160066,255909,348955,315512.5,286476.4,395956.7,512484.3,544249.3,GRASIM
Gross Profit,170629.5,188287,200618,303026,423047.5,435894.6,477566.5,561054.6,663786.5,765535.5,GRASIM
Selling General & Admin Exp.,80515.4,84314,85215.9,118269.8,163987.3,159703,160716.4,190993.9,224604.5,247865.1,GRASIM
R & D Exp.,,,,,,,,,,,GRASIM
Depreciation & Amort.,15259.1,17729.4,17669.4,26814.3,35321.7,39667.4,39787.8,41241.3,45290.1,50013.2,GRASIM
Other Operating Expense/(Income),38620.8,39922.7,41303.6,61209.7,92669.6,102274,130299.6,164450,223291.5,245719,GRASIM
"Other Operating Exp., Total",134395.3,141966.1,144188.9,206293.8,291978.6,301644.4,330803.8,396685.2,493186.1,543597.3,GRASIM
Operating Income,36234.2,46320.9,56429.1,96732.2,131068.9,134250.2,146762.7,164369.4,170600.4,221938.2,GRASIM
Interest Expense,-6602.8,-8205.4,-7482.8,-36720.8,-60353.7,-68033.3,-56983.3,-46833.6,-59558.1,-92774.3,GRASIM
Interest and Invest. Income,1225.9,1357.7,2023.4,1806.4,2856.7,2480.5,1657.2,2543.2,4276.1,,GRASIM
Net Interest Exp.,-5376.9,-6847.7,-5459.4,-34914.4,-57497,-65552.8,-55326.1,-44290.4,-55282,-92774.3,GRASIM
Income/(Loss) from Affiliates,1542.3,1930.2,1294.1,-7274.4,290.6,5622.2,1892.2,3803.3,2089.6,886.8,GRASIM
Currency Exchange Gains (Loss),-235.6,95.1,-236.7,-223.3,147.4,-130.5,-73.9,-1752.6,-345.2,,GRASIM
Other Non-Operating Inc. (Exp.),79.1,1249.3,2014.7,664,788.7,983.3,879.7,732.8,1133.9,12641,GRASIM
EBT Excl. Unusual Items,32243.1,42747.8,54041.8,54984.1,74798.6,75172.4,94134.6,122862.5,118196.7,142691.7,GRASIM
Merger & Related Restruct. Charges,,,,,,,-809.9,,,,GRASIM
Impairment of Goodwill,,-18.6,-16.4,,-940.1,-12702.7,,,,,GRASIM
Gain (Loss) On Sale Of Invest.,3997.3,4938.4,5902.5,5170.1,4250.8,5485,7543.2,4466.6,30176.5,,GRASIM
Gain (Loss) On Sale Of Assets,17.4,-5.8,-14.7,-177.9,-138.7,,,,,,GRASIM
Asset Writedown,-373.1,-589.9,-390.1,-1482.2,-392.1,-551.5,-546.2,-369.4,-225.8,,GRASIM
Insurance Settlements,185.7,,,,,,,,,,GRASIM
Legal Settlements,,,,1128.9,,,,,,,GRASIM
Other Unusual Items,-94.6,-278.5,,-3275.6,-25943.9,-2487.8,-2607.4,-691.1,-880.3,-5693.6,GRASIM
EBT Incl. Unusual Items,35975.8,46793.4,59523.1,56347.4,51634.6,64915.4,97714.3,126268.6,147267.1,136998.1,GRASIM
Income Tax Expense,10159.2,12246,17067,19471.2,24187.2,-843.2,30221.9,19363.1,36485.1,37741.6,GRASIM
Earnings from Cont. Ops.,25816.6,34547.4,42456.1,36876.2,27447.4,65758.6,67492.4,106905.5,110782,99256.5,GRASIM
Earnings of Discontinued Ops.,,,,,0,627.2,2374.6,5157.4,,,GRASIM
Extraord. Item & Account. Change,,,,,,,,,,,GRASIM
Net Income to Company,25816.6,34547.4,42456.1,36876.2,27447.4,66385.8,69867,112062.9,110782,99256.5,GRASIM
Minority Int. in Earnings,-8378.6,-9866,-10783.1,-10090.4,-10517.5,-22268.4,-26818.8,-36565.1,-42509.4,-43011.6,GRASIM
Net Income,17438,24681.4,31673,26785.8,16929.9,44117.4,43048.2,75497.8,68272.6,56244.9,GRASIM
Pref. Dividends and Other Adj.,,,,,,,,,,,GRASIM
NI to Common Incl Extra Items,17438,24681.4,31673,26785.8,16929.9,44117.4,43048.2,75497.8,68272.6,56244.9,GRASIM
NI to Common Excl. Extra Items,17438,24681.4,31673,26785.8,16929.9,43490.2,40673.6,70340.4,68272.6,56244.9,GRASIM
Per Share Items,,,,,,,,,,,GRASIM
Basic EPS,38,52.9,67.9,44.2,25.8,67.2,65.6,115,104,85.3,GRASIM
Basic EPS Excl. Extra Items,38,52.9,67.9,44.2,25.8,66.3,61.9,107.1,104,85.3,GRASIM
Weighted Avg. Basic Shares Out.,459.3,466.7,466.8,605.7,657.2,656.4,656.6,656.7,656.6,659.5,GRASIM
Diluted EPS,37.9,52.8,67.8,44.2,25.7,67.2,65.5,114.8,103.9,85.2,GRASIM
Diluted EPS Excl. Extra Items,37.9,52.8,67.8,44.2,25.7,66.2,61.9,107,103.9,85.2,GRASIM
Weighted Avg. Diluted Shares Out.,459.8,467.1,467.3,606.4,657.7,656.8,657.2,657.6,657.2,660.5,GRASIM
Normalized Basic EPS,25.6,36.1,49.3,40.1,55.1,37.7,48.8,61.3,47.8,70,GRASIM
Normalized Diluted EPS,25.6,36.1,49.2,40,55.1,37.6,48.7,61.2,47.7,69.9,GRASIM
Dividends per Share,3.6,4.5,5.5,6.2,7,4,5,5,10,10,GRASIM
Revenue,485625.2,520107.9,581816.4,653758.3,720048.7,828779.2,848718.1,957654.3,1049824.7,1106878.6,HCLTECH
Other Revenue,,,,,,,,,,,HCLTECH
Total Revenue,485625.2,520107.9,581816.4,653758.3,720048.7,828779.2,848718.1,957654.3,1049824.7,1106878.6,HCLTECH
Cost Of Goods Sold,307039.9,342172.8,384658.4,427755.1,456933.7,516164.3,501306.7,589973.8,667964.1,709753.6,HCLTECH
